,네이버지도URL: https://m.map.naver.com/search?query=%EC%84%9C%EC%9A%B8%20%EC%B2%AD%ED%99%94%EA%B0%80%EB%93%A0%20%EB%B6%81%ED%95%9C%EC%82%B0,,,,,
,POINT (127.085592 37.509281),,,,,
,야장타입: 매장,,,,,
,분위기: 왁자지껄,,,,,
,주류종류: 소주,,,,,
,한줄리뷰: 잠실새내 포차 야장거리,,,,,
,주소: 서울 송파구 석촌호수로12길 8,,,,,
,위도: 37.5092806690364,,,,,
,경도: 127.085592288053,,,,,
,네이버지도URL: https://m.place.naver.com/place/37293562/home,,,,,
,POINT (126.921582 37.604263),,,,,
,야장타입: 노포,,,,,
,분위기: 왁자지껄,,,,,
,주류종류: 소주,,,,,
,한줄리뷰: 진흥로 야외 호프 노가리 왁자지껄 야장 명소,,,,,
,주소: 서울 은평구 진흥로 81-1,,,,,
,위도: 37.60426337088127,,,,,
,경도: 126.92158193240523,,,,,
,네이버지도URL: https://m.place.naver.com/place/1923905204/home,,,,,
,POINT (127.026469 37.503727),,,,,
,야장타입: 루프탑,,,,,
,분위기: 데이트,,,,,
,주류종류: 칵테일,,,,,
,한줄리뷰: 역삼동 루프탑 야외,,,,,
,주소: 서울 강남구 봉은사로4길 17,,,,,
,위도: 37.503726987180904,,,,,
,경도: 127.02646881036519,,,,,
,네이버지도URL: https://m.place.naver.com/place/1148857962/home,,,,,
,POINT (126.925816 37.563093),,,,,
,야장타입: 매장,,,,,
,분위기: 데이트,,,,,
,주류종류: 소주,,,,,
,한줄리뷰: 홍대입구역 근처 야장 감성 데이트,,,,,
,주소: 서울 마포구 동교로 266-7,,,,,
,위도: 37.5630934254012,,,,,
,경도: 126.925816342318,,,,,
,네이버지도URL: https://m.place.naver.com/place/1108132072/home,,,,,
,POINT (126.924638 37.56062),,,,,
,야장타입: 매장,,,,,
,분위기: 데이트,,,,,
,주류종류: 소주,,,,,
,한줄리뷰: 동교동 야외테이블 상회식 안주와 소주 로맨틱,,,,,
,주소: 서울 마포구 동교로30길 3,,,,,
,위도: 37.56062034503681,,,,,
,경도: 126.924638314908,,,,,
,네이버지도URL: https://m.place.naver.com/place/1719609996/home,,,,,
,POINT (127.03133 37.497085),,,,,
,야장타입: 매장,,,,,
,분위기: 왁자지껄,,,,,
,주류종류: 소주,,,,,
,한줄리뷰: 강남역 누룽지 통닭 야장,,,,,
,주소: 서울 강남구 강남대로84길 34,,,,,
,위도: 37.4970853834231,,,,,
,경도: 127.031330261471,,,,,
,네이버지도URL: https://m.place.naver.com/place/1553521994/home,,,,,
,POINT (126.940614 37.514624),,,,,
